,name,category,category_title,rating,price,review_count,display_address,address1,address2,address3,city,latitude,longitude,zip code,restaurant_id,price_integer
6215,The Warbler,pastashops,Pasta Shops,4.5,$$,342,"['4535 N Lincoln Ave', 'Chicago, IL 60625']",4535 N Lincoln Ave,,,Chicago,41.96422555,-87.6854829,60625,XOLX_XVqY776i6PyIHp_6Q,2
6216,Cindy's,newamerican,American (New),4,$$,1856,"['12 S Michigan Ave', 'Chicago, IL 60603']",12 S Michigan Ave,,,Chicago,41.8816894,-87.62500617,60603,riT822EnU7y_5eCuJsd9sA,2
6217,Jaleo by José Andrés,spanish,Spanish,4,,74,"['500 N Clark St', 'Chicago, IL 60654']",500 N Clark St,,,Chicago,41.89103519,-87.63127721,60654,yukOh6UmBksolVL3OZZf2w,
6218,Flo,breakfast_brunch,Breakfast & Brunch,4,$$,1013,"['1434 W Chicago Ave', 'Chicago, IL 60642']",1434 W Chicago Ave,,,Chicago,41.8963899,-87.66383,60642,LOwInnfIfVFXpzaFYnrsnw,2
6219,Blue Door Farm Stand,sandwiches,Sandwiches,4,$$,630,"['2010 N Halsted St', 'Chicago, IL 60614']",2010 N Halsted St,,,Chicago,41.9185555,-87.64881112,60614,ige3s8PkYAErLRVbSvqItQ,2
6220,Azul 18,newamerican,American (New),4,$$,361,"['1236 W 18th St', 'Chicago, IL 60608']",1236 W 18th St,,,Chicago,41.85806203,-87.65791367,60608,WpiOkhWb2hWxIbS3ivl6Pw,2
6221,Crisp,korean,Korean,4.5,$$,3350,"['2940 N Broadway Ave', 'Chicago, IL 60657']",2940 N Broadway Ave,,,Chicago,41.93612146,-87.64442103,60657,WBU0yq9J8qiYQfI_fh2P1Q,2
6222,Go 4 Food,chinese,Chinese,4,$$,727,"['212 W 23rd St', 'Chicago, IL 60616']",212 W 23rd St,,,Chicago,41.851126,-87.632602,60616,aZqKMhhy_dbQlGTQ91YSbw,2
6223,Mother Cluckers Kitchen - Chicago,southern,Southern,4.5,$$,889,"['5200 N Elston Ave', 'Chicago, IL 60630']",5200 N Elston Ave,,,Chicago,41.97526857,-87.75224825,60630,e9aAISx0navH8qMr33X4TA,2
6224,Papa's Cache Sabroso,latin,Latin American,4,$$,557,"['2517 W Division St', 'Chicago, IL 60622']",2517 W Division St,,,Chicago,41.90268,-87.6902,60622,0hk0dnOxW3axag0xwlwGKQ,2
6225,Theory,sportsbars,Sports Bars,4,$$,844,"['9 W Hubbard St', 'Chicago, IL 60654']",9 W Hubbard St,,,Chicago,41.88983,-87.62857,60654,N0CzLRbl79f4f6WqjNKM0g,2
6226,Superkhana International,indpak,Indian,4,$$,101,"['3059 W Diversey Ave', 'Chicago, IL 60647']",3059 W Diversey Ave,,,Chicago,41.9318,-87.70481,60647,lrwkR8IVohWQM551BUYcZQ,2
6227,High Five Ramen,ramen,Ramen,4,$$,884,"['112 N Green St', 'Chicago, IL 60607']",112 N Green St,,,Chicago,41.883651,-87.648968,60607,FMoNA-t4uxss2JA37ZNEJg,2
6228,The Fat Shallot - Lincoln Park,foodtrucks,Food Trucks,4.5,$$,130,"['2468 N Clark St', 'Chicago, IL 60603']",2468 N Clark St,,,Chicago,41.92733,-87.64201,60603,CKLQVlYIpZXiuuo4UoCdCw,2
6229,Pizza Lobo,pizza,Pizza,4,,104,"['3000 W Fullerton Ave', 'Chicago, IL 60647']",3000 W Fullerton Ave,,,Chicago,41.925051,-87.702579,60647,lng1ZrsRzCE9bA2MlMQPHQ,
6230,Four Seasons Dumpling,chinese,Chinese,4.5,$$,28,"['3205 S Halsted St', 'Chicago, IL 60608']",3205 S Halsted St,,,Chicago,41.836029,-87.6458318,60608,fFurmmH4wLu-zBSjPvrRfw,2
6231,Velvet Taco,newamerican,American (New),4,$$,1645,"['1110 N State St', 'Chicago, IL 60610']",1110 N State St,,,Chicago,41.90224,-87.62851,60610,NOKQi1saEWWp-cbUhkUtFQ,2
