,name,rating,price,review_count,address,latitude,longitude,zip code,restaurant_id
933,Floriole Cafe & Bakery,4.0,$$,493,"['1220 W Webster Ave', 'Chicago, IL 60614']",41.9219131469727,-87.6592025756836,60614,2PDjNBgmUrE_h1G939RurA
934,Kitsch'n On Roscoe,3.5,$$,583,"['2005 W Roscoe St', 'Chicago, IL 60618']",41.94293,-87.67878,60618,3vCuQ2D6EcmyBGT0vWj9yw
935,Rudolph’s,3.0,,29,"['3660 N Clark St', 'Chicago, IL 60613']",41.948692,-87.658189,60613,7cuVXBneyf3YK5l5chbD3w
936,The Great American Bagel,3.5,$,145,"['1248 W Belmont Ave', 'Chicago, IL 60657']",41.9399049,-87.6608699,60657,wGvf_p-IsLZuZRfhEm8_zw
937,Chromium,3.0,$$$,15,"['2444 N Elston Ave', 'Chicago, IL 60647']",41.9258492,-87.6788606,60647,ATmRt08w6MoSCTFsz0b8CA
938,Colectivo,4.0,$,284,"['2530 N Clark St', 'Chicago, IL 60614']",41.9285424,-87.6424243,60614,lCJnbAP8O8292rTNX35F8g
939,Chubby Pies,1.0,,1,"['926 W Diversey Pkwy', 'Chicago, IL 60614']",41.9328110587324,-87.6523710787296,60614,Mhio13b3o_BHZSOzH_vfbA
940,Moe's Cantina,2.0,$$,323,"['3518 N Clark St', 'Chicago, IL 60657']",41.94601,-87.65596,60657,2TOwPl0o1voh3UoMEGPYLA
941,Gorilla Sushi Diversey,3.5,$,99,"['1408 W Diversey Pkwy', 'Chicago, IL 60614']",41.9326149243917,-87.6640642589015,60614,SSgf0ypeC1rm2qPeHY_IIQ
942,Crepe Twist,5.0,,20,"['545 W Diversey Pkwy', 'Chicago, IL 60614']",41.93265,-87.64297,60614,tQqZ7smR1OIVMYV0jA6tIw
943,Wheat's End Cafe,4.5,$$,294,"['2873 N Broadway St', 'Chicago, IL 60657']",41.9346173107624,-87.6441695541143,60657,kETAh5tmJry7Nf4Y2Y_3Yg
944,Fons Empanadas,5.0,$$,83,"['2566 N Clark St', 'Chicago, IL 60614']",41.9294,-87.643,60614,iAVr7R3a50vTI3SHvX6R4A
945,Frances' Deli and Brunchery,3.5,$$,532,"['2552 N Clark St', 'Chicago, IL 60614']",41.92908,-87.6428,60614,XT1urbucBS7iut-BIaciZA
946,Cesar's Killer Margaritas - Broadway,3.0,$$,754,"['2924 N Broadway', 'Chicago, IL 60657']",41.9357037,-87.6444198,60657,bIjMKGbv8AQh7RmamaDzoQ
947,Wheat's End Cafe,4.5,$$,294,"['2873 N Broadway St', 'Chicago, IL 60657']",41.9346173107624,-87.6441695541143,60657,kETAh5tmJry7Nf4Y2Y_3Yg
948,Goldies Pub,4.0,$,127,"['3839 N Lincoln Ave', 'Chicago, IL 60613']",41.951603940105386,-87.67673301376391,60613,fRELE91ax8adxi9W83qLNg
949,CornerStone Café Lincoln Park,4.0,$$,167,"['2200 N Clybourn Ave', 'Chicago, IL 60614']",41.92176,-87.6649,60614,4BIQGbl3u1gzfTYGjuG32g
950,Pockets,3.0,$,86,"['3001 N Lincoln Ave', 'Chicago, IL 60657']",41.9373993646665,-87.6634231098783,60657,Azn5zAYCfSIt-_rvqlCQ9Q
951,Indian Clay Pot,4.0,$$,227,"['1804 W Irving Park Rd', 'Chicago, IL 60613']",41.9543617,-87.6744497,60613,1UySapAIpFe7xjrHbgXerQ
952,Byron's Hot Dog Haus,4.0,$,272,"['1017 W Irving Park Rd', 'Chicago, IL 60613']",41.9543251,-87.655533,60613,9y30CRO7Asv8nO25gLlKMA
953,Yindee,4.0,$$,138,"['1824 W Addison St', 'Chicago, IL 60613']",41.9470549,-87.675024,60613,vK3ByOGPgXB0yYzR-vX7Og
954,Charm’d,3.5,,14,"['3505 N Clark St', 'Chicago, IL 60657']",41.9459656019478,-87.6552613410628,60657,ztTuLlx10QNweiZippIFcw
955,Original Pancake House,3.5,$$,239,"['616 W Diversey Pkwy', 'Chicago, IL 60614']",41.9330046234589,-87.6446378945079,60614,ADTh1H-hc4ju5g-Ii6QF1Q
956,House of Hunan,3.0,$,279,"['444 W Fullerton Pkwy', 'Chicago, IL 60614']",41.925893,-87.641125,60614,cT5PCUVcozFYUFlCKigodg
957,LP Tacos,5.0,,1,"['2442 N Clark St', 'Chicago, IL 60614']",41.92662,-87.64142,60614,EaF6UAMoYn63v1Nr-I3y4g
958,Whale Tale,3.5,$,8,"['2211 N Clybourn Ave', 'Chicago, IL 60614']",41.9219839942116,-87.6645087450743,60614,rXV5mcLmVqrJOqPzvIwLwA
959,Rojo Gusano,3.5,$$,153,"['4217 N Ravenswood Ave', 'Chicago, IL 60613']",41.958452,-87.673699,60613,uIqwb2UIdBPh1-poxK8AXQ
960,Klein's Bakery and Café,4.0,$,159,"['4155 N Broadway', 'Chicago, IL 60613']",41.9583525741901,-87.652741725853,60613,tdIncR553fgi2oM1xoLRGg
961,The Globe Pub,4.0,$$,449,"['1934 W Irving Park Rd', 'Chicago, IL 60613']",41.95428,-87.6777,60613,ijtyBBrKmxVkmmMzcVqOMQ
962,The Crowd Theater,5.0,$,14,"['3935 N Broadway', 'Chicago, IL 60613']",41.9536473282456,-87.649837516738,60613,ww2hVfjY1YKSQPCwmKzjdQ
963,Hacienda D' Suarez,2.5,,11,"['3466 N Clark St', 'Chicago, IL 60657']",41.945205,-87.6551743,60657,Tjz9t6cSqr9dD4w-bFPeNA
964,North Buena Wine Shop & Deli,4.5,$,130,"['4200 N Broadway', 'Chicago, IL 60613']",41.95872,-87.653527,60613,Yzh2FYP5f28l6myzlZDczg
965,Johnny's Beef & Gyros - Lincoln Park,4.0,$,186,"['2300 N Lincoln Ave', 'Chicago, IL 60614']",41.9237885303704,-87.6466239816146,60614,LOP-C_rM4uFK1_833lB22A
966,Renaldi's After Dark,3.5,$,24,"['2831 N Broadway', 'Chicago, IL 60657']",41.9336824805495,-87.6445728329351,60657,eXA06pE_xHi3i_GYNs0ueg
967,A.J. Hudson's Public House,3.5,$$,159,"['3801 N Ashland Ave', 'Chicago, IL 60613']",41.950901,-87.668608,60613,t724mtf1uhc2uiwueNkNnw
968,Lincoln Park Sarpino's,2.5,$,191,"['1149 W Diversey Pkwy', 'Chicago, IL 60614']",41.9324251,-87.6578199,60614,vKOjsYCp3dbXQxRZtZ-Aiw
